연월별,시군구별,연료별,용도별,승    용,승    합,화    물,특    수,계
2017-12-31,강남구,전기,사업용,2195,0,0,0,2195
2017-12-31,송파구,전기,비사업용,104,0,6,0,110
2017-12-31,송파구,전기,사업용,4,0,0,0,4
2017-12-31,강동구,전기,비사업용,75,0,0,0,75
2017-12-31,강동구,전기,사업용,6,0,0,0,6
2018-12-31,종로구,전기,비사업용,129,0,4,0,133
2018-12-31,중 구,전기,비사업용,182,2,2,0,186
2018-12-31,중 구,전기,사업용,24,0,0,0,24
2018-12-31,용산구,전기,비사업용,201,0,0,0,201
2018-12-31,성동구,전기,비사업용,175,0,2,0,177
2018-12-31,성동구,전기,사업용,264,0,0,0,264
2018-12-31,광진구,전기,비사업용,120,0,0,0,120
2018-12-31,광진구,전기,사업용,3,0,0,0,3
2018-12-31,동대문구,전기,비사업용,103,0,1,0,104
2018-12-31,동대문구,전기,사업용,2,0,0,0,2
2018-12-31,중랑구,전기,비사업용,124,0,0,0,124
2018-12-31,중랑구,전기,사업용,4,0,0,0,4
2018-12-31,성북구,전기,비사업용,149,0,0,0,149
2018-12-31,성북구,전기,사업용,6,19,0,0,25
2018-12-31,강북구,전기,비사업용,79,0,0,0,79
2018-12-31,강북구,전기,사업용,6,0,0,0,6
2018-12-31,도봉구,전기,비사업용,105,0,0,0,105
2018-12-31,도봉구,전기,사업용,16,0,0,0,16
2018-12-31,노원구,전기,비사업용,156,1,0,0,157
2018-12-31,노원구,전기,사업용,7,0,0,0,7
2018-12-31,은평구,전기,비사업용,161,0,0,1,162
2018-12-31,은평구,전기,사업용,2,0,0,0,2
2018-12-31,서대문구,전기,비사업용,117,0,0,0,117
2018-12-31,서대문구,전기,사업용,11,0,0,0,11
2018-12-31,마포구,전기,비사업용,207,0,0,0,207
2018-12-31,마포구,전기,사업용,9,0,0,0,9
2018-12-31,양천구,전기,비사업용,170,0,1,0,171
2018-12-31,양천구,전기,사업용,28,0,0,0,28
2018-12-31,강서구,전기,비사업용,200,0,1,0,201
2018-12-31,강서구,전기,사업용,73,0,0,0,73
2018-12-31,구로구,전기,비사업용,137,0,0,0,137
2018-12-31,구로구,전기,사업용,34,0,0,0,34
